orgUnitPath,orgUnitId,name,parentOrgUnitId
/Chromebooks/HS/TestingCart1/TestingCart1_OLD,id:03ph8a2z3l72e5d,TestingCart1_OLD,id:03ph8a2z0vh005u
/Chromebooks/HS/TestingCart2,id:03ph8a2z2s0rf5v,TestingCart2,id:01i93fcd3nwqzl8
/Chromebooks/HS/TestingCart2/OLD_TestingCart2,id:03ph8a2z3ywqyi9,OLD_TestingCart2,id:03ph8a2z2s0rf5v
/Chromebooks/HS/TestingCart3,id:03ph8a2z0psshl1,TestingCart3,id:01i93fcd3nwqzl8
/Chromebooks/HS/TestingCart3/OLD_TestingCart3,id:03ph8a2z2xfo26l,OLD_TestingCart3,id:03ph8a2z0psshl1
/Chromebooks/HS/TestingCart4,id:03ph8a2z1bjvydr,TestingCart4,id:01i93fcd3nwqzl8
/Chromebooks/HS/TestingCart4/OLD_TestingCart4,id:03ph8a2z32sxs0d,OLD_TestingCart4,id:03ph8a2z1bjvydr
/Chromebooks/HS/TestingCart5,id:03ph8a2z1qizm10,TestingCart5,id:01i93fcd3nwqzl8
/Chromebooks/HS/TestingCart5/TestingCart5_OLD,id:03ph8a2z0pcqh75,TestingCart5_OLD,id:03ph8a2z1qizm10
/Chromebooks/HS/VirtualStudents,id:03ph8a2z4ahcacj,VirtualStudents,id:01i93fcd3nwqzl8
/Chromebooks/JDC,id:01i93fcd32xwb3c,JDC,id:01i93fcd0i7bk0u
/Chromebooks/JDC/JDCCB1,id:01i93fcd1vicha6,JDCCB1,id:01i93fcd32xwb3c
/Chromebooks/MS,id:01i93fcd0qhxkye,MS,id:01i93fcd0i7bk0u
/Chromebooks/MS/Gifted,id:01i93fcd1tjus4s,Gifted,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB1,id:01i93fcd15vl62t,MSCB1,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB1/MSCB1_OLD,id:03ph8a2z4j345pw,MSCB1_OLD,id:01i93fcd15vl62t
/Chromebooks/MS/MSCB19,id:03ph8a2z1jqsiy6,MSCB19,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB2,id:01i93fcd3pv8oqm,MSCB2,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB2/MSCB_OLD,id:03ph8a2z475z5vn,MSCB_OLD,id:01i93fcd3pv8oqm
/Chromebooks/MS/MSCB20,id:03ph8a2z3olip4y,MSCB20,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB21,id:03ph8a2z2tp5bjj,MSCB21,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB22,id:03ph8a2z33cfk0f,MSCB22,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB24,id:01i93fcd0nbvf2b,MSCB24,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB24/MSCB13_OLD,id:03ph8a2z3yukm70,MSCB13_OLD,id:01i93fcd0nbvf2b
/Chromebooks/MS/MSCB25,id:01i93fcd250iyyf,MSCB25,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB25/MSCB3_OLD,id:03ph8a2z0ynbusr,MSCB3_OLD,id:01i93fcd250iyyf
/Chromebooks/MS/MSCB26,id:01i93fcd1jar21u,MSCB26,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB26/MSCB6_OLD,id:03ph8a2z3j3mlsk,MSCB6_OLD,id:01i93fcd1jar21u
/Chromebooks/MS/MSCB27,id:01i93fcd43aekpn,MSCB27,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB27/MSCB7_OLD,id:03ph8a2z487mm2n,MSCB7_OLD,id:01i93fcd43aekpn
/Chromebooks/MS/MSCB28,id:01i93fcd2ifouxg,MSCB28,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB28/MSCB8_OLD,id:03ph8a2z3v006c7,MSCB8_OLD,id:01i93fcd2ifouxg
/Chromebooks/MS/MSCB29,id:01i93fcd0uewz96,MSCB29,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB29/MSCB14_OLD,id:03ph8a2z0yw41i1,MSCB14_OLD,id:01i93fcd0uewz96
/Chromebooks/MS/MSCB30,id:01i93fcd191nbyw,MSCB30,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB30/MSCB10_OLD,id:03ph8a2z26xdazd,MSCB10_OLD,id:01i93fcd191nbyw
/Chromebooks/MS/MSCB31,id:01i93fcd3t1aump,MSCB31,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB31/MSCB11_OLD,id:03ph8a2z31gpn53,MSCB11_OLD,id:01i93fcd3t1aump
/Chromebooks/MS/MSCB32,id:01i93fcd2f9mp1d,MSCB32,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB32/MSCB15_OLD,id:03ph8a2z1a3rz75,MSCB15_OLD,id:01i93fcd2f9mp1d
/Chromebooks/MS/MSCB33,id:01i93fcd3rtqdw0,MSCB33,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB33/MSCB16_OLD,id:03ph8a2z0z943wd,MSCB16_OLD,id:01i93fcd3rtqdw0
/Chromebooks/MS/MSCB34,id:01i93fcd26z0o3t,MSCB34,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB34/MSCB17_OLD,id:03ph8a2z1arpsvz,MSCB17_OLD,id:01i93fcd26z0o3t
/Chromebooks/MS/MSCB35,id:01i93fcd363ygzf,MSCB35,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB35/MSCB18_OLD,id:03ph8a2z3rpo3s4,MSCB18_OLD,id:01i93fcd363ygzf
/Chromebooks/MS/MSCB36,id:01i93fcd286l4ui,MSCB36,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB36/MSCB12_OLD,id:03ph8a2z3rh2sg6,MSCB12_OLD,id:01i93fcd286l4ui
/Chromebooks/MS/MSCB37,id:01i93fcd1ofax3b,MSCB37,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB37/MSChromebook4,id:03ph8a2z3cricxb,MSChromebook4,id:01i93fcd1ofax3b
/Chromebooks/MS/MSCB39,id:03ph8a2z4h55z9a,MSCB39,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB4,id:01i93fcd0k5t968,MSCB4,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB4/MSCB4_OLD,id:03ph8a2z22rwjmq,MSCB4_OLD,id:01i93fcd0k5t968
/Chromebooks/MS/MSCB5,id:01i93fcd345gru1,MSCB5,id:01i93fcd0qhxkye
/Chromebooks/MS/MSCB9,id:01i93fcd0xkz559,MSCB9,id:01i93fcd0qhxkye
/Chromebooks/MS/MSHealth,id:03ph8a2z30bslwa,MSHealth,id:01i93fcd0qhxkye
/Chromebooks/MS/MSLib,id:01i93fcd4er2rja,MSLib,id:01i93fcd0qhxkye
/Chromebooks/MS/MSSpEd,id:01i93fcd2sosl0e,MSSpEd,id:01i93fcd0qhxkye
/Chromebooks/MS/MSSpEd2,id:01i93fcd4fhzzxz,MSSpEd2,id:01i93fcd0qhxkye
/Chromebooks/MS/MSSpEd3,id:01i93fcd2unaa5s,MSSpEd3,id:01i93fcd0qhxkye
/Chromebooks/MS/MSSped4,id:03ph8a2z2zzwtfc,MSSped4,id:01i93fcd0qhxkye
/Chromebooks/MS/Virtual Student,id:03ph8a2z0ll0yv2,Virtual Student,id:01i93fcd0qhxkye
/Chromebooks/MS/Yearbook MS,id:01i93fcd0pad47p,Yearbook MS,id:01i93fcd0qhxkye
/Chromebooks/Staff,id:01i93fcd326z2on,Staff,id:01i93fcd0i7bk0u
/Chromebooks/Staff/KitchenPOS,id:03ph8a2z32ppe2z,KitchenPOS,id:01i93fcd326z2on
/Chromebooks/Staff/Sandbox,id:03ph8a2z1e7fjuq,Sandbox,id:01i93fcd326z2on
/Chromebooks/Technology,id:01i93fcd1c7phuz,Technology,id:01i93fcd0i7bk0u
/Chromebooks/Unknown Units,id:01i93fcd4djiasl,Unknown Units,id:01i93fcd0i7bk0u
/Employees,id:01i93fcd1pmvdu0,Employees,id:01i93fcd4hx4xfd
/Employees/_Takeout,id:01i93fcd1urf8vh,_Takeout,id:01i93fcd1pmvdu0
/Employees/Admins,id:03ph8a2z116kz8k,Admins,id:01i93fcd1pmvdu0
/Employees/Admins/userSandbox,id:03ph8a2z3oq4qvb,userSandbox,id:03ph8a2z116kz8k
/Employees/Discovery,id:03ph8a2z0otxp36,Discovery,id:01i93fcd1pmvdu0
/Employees/Force-2-Factor-Authentication,id:03ph8a2z3fjzwkf,Force-2-Factor-Authentication,id:01i93fcd1pmvdu0
/Employees/LTSubs,id:03ph8a2z3ueq072,LTSubs,id:01i93fcd1pmvdu0
/Employees/LTSubs/Daily_Subs,id:03ph8a2z22tuiku,Daily_Subs,id:03ph8a2z3ueq072
/Employees/MGAppDevOU,id:03ph8a2z2yrti0a,MGAppDevOU,id:01i93fcd1pmvdu0
/Employees/Remote no 2FA,id:03ph8a2z4dcik0g,Remote no 2FA,id:01i93fcd1pmvdu0
/Employees/Technology,id:01i93fcd2a52tzw,Technology,id:01i93fcd1pmvdu0
/Enrollment,id:01i93fcd2twd1r3,Enrollment,id:01i93fcd4hx4xfd
/Former employees,id:01i93fcd2bcnaql,Former employees,id:01i93fcd4hx4xfd
/GAFEAdmin,id:01i93fcd1g4ow5r,GAFEAdmin,id:01i93fcd4hx4xfd
/OMTC_IOS_Devices,id:03ph8a2z2sijxu8,OMTC_IOS_Devices,id:01i93fcd4hx4xfd
/Operational,id:01i93fcd0gzr3a5,Operational,id:01i93fcd4hx4xfd
/Special Use OU,id:03ph8a2z0wb78vb,Special Use OU,id:01i93fcd4hx4xfd
/Students,id:01i93fcd3uzsjs3,Students,id:01i93fcd4hx4xfd
/Students/JDC,id:01i93fcd1i36lb5,JDC,id:01i93fcd3uzsjs3
/Students/MGES,id:01i93fcd13x3gxf,MGES,id:01i93fcd3uzsjs3
/Students/MGHS,id:01i93fcd49miwht,MGHS,id:01i93fcd3uzsjs3
/Students/MGHS/_HS_Senior_Takeout,id:03ph8a2z0ynjdk7,_HS_Senior_Takeout,id:01i93fcd49miwht
/Students/MGHS/ALC,id:01i93fcd422u3yy,ALC,id:01i93fcd49miwht
